"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Generator_Class__c","nFORCE__lookupKey__c","nFORCE__Category__c","nFORCE__Layout_Description__c","nFORCE__Layout_Preview_Image__c","nFORCE__Visualforce_Page__c","AutorabitExtId__c"
"a2C780000003LyzEAE","0058c00000BxeO9AAJ","false","TwoColumnGrid","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TwoColumnGrid","42224690031248780","","","","",""
"a2C780000003Lz0EAE","0058c00000BxeO9AAJ","false","TwoColumnGrid","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TwoColumnGrid","42635208571032064","","","","",""
"a2C780000003Lz1EAE","0058c00000BxeO9AAJ","false","TwoColumnGrid","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TwoColumnGrid","42304620396920647","","","","",""
"a2C780000003Lz2EAE","0058c00000BxeO9AAJ","false","TwoColumnGrid","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TwoColumnGrid","42332310368014825","","","","",""
"a2C780000003Lz3EAE","0058c00000BxeO9AAJ","false","TwoColumnGrid","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TwoColumnGrid","42146492712301673","","","","",""
"a2C780000003Lz4EAE","0058c00000BxeO9AAJ","false","NoLayout","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.NoLayout","42169342725117281","","","","",""
"a2C780000003Lz5EAE","0058c00000BxeO9AAJ","false","TableLayout","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TableLayout","42620365532126681","","","","",""
"a2C780000003Lz6EAE","0058c00000BxeO9AAJ","false","TwoColumnGrid","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TwoColumnGrid","42519078222946588","","","","",""
"a2C780000003Lz7EAE","0058c00000BxeO9AAJ","false","TwoColumnGrid","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TwoColumnGrid","42900817578682316","","","","",""
"a2C780000003Lz8EAE","0058c00000BxeO9AAJ","false","TwoColumnGrid","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TwoColumnGrid","42847769287868252","","","","",""
